,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
sort-vel-7,21.151049963085896,20.395423575120365,21.151049963085896,20.395423575120365,17.060521661100303,20.06552707506032,20.51627887434092,21.44978365281117,64.0,14.361702127659575,5760.0,14.361702127659575,325.01661792931543,13.477128233792747,49026.99926593262,1.4281038901017158,3.2,1.9390719429665317,288.0,174.51647486698783,16.25083089646577,12.805825681824343,2451.3499632966314,1760.0200991164318
sort-vel-8,27.71305086540938,27.714151692674115,27.71305086540938,27.714151692674115,24.858209095688313,23.271693114202247,55.14987615089617,75.41598319859484,84.0,1.0638297872340425,7560.0,1.0638297872340425,487.5796665587365,21.674193910268855,154899.357757202,38.29026339116609,4.2,3.709447398198282,378.0,333.8502658378453,24.378983327936826,17.05446580479978,7744.9678878601,11684.873026517469
sort-vel-9,24.120322297947908,22.121396661118816,24.120322297947908,22.121396661118816,18.590570067342206,20.95310637072522,29.16426623910649,37.52550284625948,73.0,10.904255319148936,6570.0,10.904255319148936,362.1509306739265,16.256729176359116,79652.97147389936,8.890873609258051,3.65,2.6320144376503714,328.5,236.88129938853342,18.107546533696325,14.583196552127118,3982.648573694968,5214.541974444282
sort-vel-10,26.38581213873166,24.131525193208088,26.38581213873166,24.131525193208088,20.495684114082728,23.629755450597802,45.243064603073535,47.488175953521974,75.0,11.96808510638298,6750.0,11.96808510638298,414.02159869130105,17.365365198027842,117443.79791592054,14.210758855229004,3.75,2.9979159427842537,337.5,269.8124348505828,20.70107993456505,22.073654338716896,5872.1898957960275,7217.901592685453
sort-vel-11,21.939071010665764,23.02305973033872,21.939071010665764,23.02305973033872,20.932338743272318,22.674356428329247,35.46571709740438,52.376410836277785,60.0,10.638297872340425,5400.0,10.638297872340425,419.64916713239836,18.57077636260927,87848.6458332989,13.290320269915973,3.0,2.1213203435596424,270.0,190.91883092036784,20.98245835661992,19.20743707152442,4392.432291664945,6158.0318749612
sort-acc-7,28.623961301534315,26.134208424811654,28.623961301534315,26.134208424811654,20.25297436403436,23.729155768079437,22.51370171168505,25.599577420568064,101.0,24.73404255319149,9090.0,24.73404255319149,431.27645178624766,18.1242438463664,57524.14792936353,7.375121376608788,5.05,5.444951790420187,454.5,490.0456611378168,21.563822589312384,27.654144575301178,2876.2073964681763,3404.6983449749487
sort-acc-8,34.63755008741499,27.983964575465407,34.63755008741499,27.983964575465407,29.745207874331264,27.543326081657654,71.91790313468195,82.27670094226922,118.0,9.574468085106384,10620.0,9.574468085106384,618.3086296277572,26.823671955685107,201565.7290602598,44.16878357921226,5.9,5.146843692983109,531.0,463.21593236847974,30.915431481387863,31.72306667283922,10078.28645301299,12706.022005526029
sort-acc-9,33.7680873670097,27.51746910487591,33.7680873670097,27.51746910487591,23.780001507569704,24.6969453874912,40.0116366273647,52.41205324145107,118.0,19.680851063829788,10620.0,19.680851063829788,508.53030528676464,22.592423104588427,110918.3776454956,8.179083938502655,5.9,5.638262143604179,531.0,507.44359292437616,25.42651526433823,28.720425423529242,5545.91888227478,7171.726370363398
sort-acc-10,34.439915090341,24.264196886455405,34.439915090341,24.264196886455405,23.491145434717613,28.214594137314243,91.21997883158656,188.65217693670607,115.0,22.074468085106382,10350.0,22.074468085106382,500.42409678016924,20.89501408100758,232302.10854640682,39.42798724314368,5.75,4.602988159880492,517.5,414.2689343892443,25.021204839008462,35.06156005113023,11615.10542732034,23025.57718374331
sort-acc-11,26.248793868315772,25.490125406862045,26.248793868315772,25.490125406862045,23.632589070049466,26.974951410470794,55.2064997718745,79.04737514589833,88.0,18.617021276595743,7920.0,18.617021276595743,500.2854527661934,22.051685911835506,142992.23810538888,21.07200891982431,4.4,4.923413450036469,396.0,443.10721050328215,25.01427263830967,32.44391751572187,7149.611905269444,9612.976354090759
